NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Valentine,Duong,Veetine,us,51666,10042,216.67,2
Sindre,Rygg,SvikeN,no,25521,241,1501.51,1
Thomas,Andresen,Vertigo,no,24115,218,1728.93,5
Nima,Nikbakht,NeverLast,no,27644,269,1259.01,2
Joakim,Tegle Tveit,jokki,no,37023,398,600.61,1
Firat,Madon,Firat,se,16272,555,3906.77,10
Ruben,Enoksen,enoksen,no,14889,125,4617.29,5
Henrik,Hansen,Freshpro,dk,8176,208,12507.64,10
Ryan,Johnson,Omegatron,us,456,94,301506.65,11
Andrew,Woodward,Andinster,us,426,82,321506.65,18
Brett,Felley,MLCst3alth,us,437,87,313506.65,13
John,Salter,BaRRaCCuDDa,us,394,76,337506.65,19
Brendan,Daniels,DaretoCare,us,5625,1119,21208.62,6
Mathias,Dohn,spdr,dk,47274,923,294.16,2
-,-,presto,dk,59432,1144,122.27,1
Sebastian,Krøier Michaelsen,casano,dk,72064,1412,40.76,1
Heo,Won Suk,m29x,kr,49721,3273,250.00,1
Aaron,Bean,Swain Gretzky,us,27851,5419,1250.00,1
Daniel,Minter,Cybolic,us,50842,9920,230.00,3
-,-,What is a Wolf,us,62643,12389,100.00,1
Matthew,Allport,Plazmuh,gb,55937,2159,160.12,1
Regan,George,leckerGano,gb,55938,2160,160.12,1
Josh,Abrantes,brunch Ü,us,45717,8843,320.00,1
Chris,Eveler,Telandra,us,57849,11396,140.00,1
Rory,Sapir,Skarnold Trump,us,57850,11397,140.00,1
David,Bérubé,Diamond,ca,9024,292,10872.00,9
Kimi,Heals,Healsforhugs,us,57851,11398,140.00,1
-,-,oslofreak,no,45827,524,315.57,1
Knut Erik,Eldjarn,snipealot,no,21707,195,2163.89,6
Adrian,Magnussen,drozo,no,21708,196,2163.89,6
Stian,Bakken,utroliG,no,45828,525,315.57,1
-,-,bs,no,45829,526,315.57,1
-,-,soppy,no,44117,484,363.69,3
Snorri,Rafnsson,Uncas,is,56132,75,157.79,1
Morten,Skare,logic,no,52334,608,202.53,2
Alan,Hernández,Econatorz,es,12000,180,6818.01,15
Fernando,Soria,Rydle,es,11615,169,7211.25,14
Jorge,Casanovas,Werlyb,es,3834,44,35315.66,23
Federico,Lizondoà,Fr3deric,es,11674,172,7113.39,8
Alejandro,Pérez,FastDragon,es,10109,135,9133.31,17
Adrián,Pérez,Adryh,es,10298,140,8801.97,15
Martín,Hernández,Martin,es,49050,921,250.75,1
Marcos,Solaz,Corwin,es,47722,899,282.62,3
Pere,Merino,Calsot,es,27488,482,1281.11,4
-,-,-,cn,0,0,0.00,0
-,-,s0rensenpai,es,61021,1215,106.38,1
Kristoffer,Rasmussen,Skipper,dk,61022,1180,106.38,1
Nikita,Marchinsky,Clawz,by,469,2,294793.82,42
Tyler,Selig,Vibes,us,45683,8831,320.00,1
