NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Min Chul,Jang,MC,kr,233,36,509852.06,117
Min Chul,Jang,MC,kr,233,36,509852.06,117
Jae Duk,Lim,NesTea,kr,482,81,288225.07,57
Jong Hyun,Jung,Mvp,kr,314,51,409621.15,69
Sung Hoon,Choi,Polt,kr,281,45,451943.24,139
Jung Hoon,Lee,MarineKing,kr,698,109,212397.14,87
Sung Joon,Park,July,kr,638,101,230774.13,57
Jung Hoon,Kim,TOP,kr,3148,438,44650.54,34
Sung Won,Moon,MMA,kr,316,52,407169.17,111
Yoon Yeol,Lee,NaDa,kr,420,69,323389.66,71
Kang Ho,Hwang,LosirA,kr,1300,196,114305.31,106
Jung-Hwan,Lee,anypro,kr,6727,806,16680.31,8
Cho-Won,Kang,san,kr,1367,211,109440.09,61
Hong Wook,Ahn,HongUn,kr,4429,569,29392.10,14
Joon Hyuk,Song,InCa,kr,4029,517,33270.85,18
Seung Chul,Kim,sCsC,kr,525,86,270494.48,60
Kyu Jong,Han,Clide,kr,6229,757,18537.36,18
Jonathan,Walsh,Jinro,se,4431,171,29366.92,15
Hyun Woo,Byun,Byun,kr,308,49,419827.07,245
Min Soo,Jung,Genius,kr,1600,245,93775.14,39
Ki Soo,Seo,TricksteR,kr,6061,743,19351.02,17
Chris,Loranger,HuK,ca,1002,30,151758.87,117
Jung Min,Choi,Zenio,kr,4342,554,30185.48,34
Dong Ju,Kim,GanZI,kr,3833,499,35315.75,30
Sang Cheol,Kim,Ensnare,kr,5597,696,21405.83,10
Hoon Jung,Ji,Jjakji,kr,1121,176,133917.25,106
Dong Nyung,Lee,Leenock,kr,481,80,288257.14,135
Jong Hwan,Choi,CoCa,kr,5582,695,21502.85,27
Sang Ho,Shin,Swagger,kr,4677,595,27185.70,32
Young Jin,Kim,SuperNoVa,kr,2416,360,61924.61,81
Dong Won,Kim,Ryung,kr,1388,216,108009.18,132
Ji Sung,Choi,Bomber,kr,539,89,267297.83,90
Ho Jin,Ahn,Happy,kr,5812,717,20282.07,23
Joon Yong,Park,Virus,kr,6650,799,16929.44,16
Lee Seok,Han,aLive,kr,732,112,204079.55,225
Joon Sik,Yang,Alicia,kr,1583,240,94907.10,47
Joon,Han,Kyrix,kr,5649,702,21076.53,10
Kyo Seok,Hwang,KeeN,kr,1599,244,93866.46,195
Won Ki,Kim,FruitDealer,kr,1454,225,103075.12,13
Sang Jun,Kim,Puzzle,kr,5613,700,21283.06,25
Hak Soo,Kim,Oz,kr,1965,297,76789.77,40
Chan Min,Kim,TheBest,kr,6363,773,18064.37,17
Hyung Joo,Lee,Check,kr,1642,253,91361.98,78
Joon,Park,Lyn,kr,226,33,529240.60,154
Hyung Seop,Lee,Choya,kr,5844,722,20158.76,27
Sang Ik,Park,TheWinD,kr,7717,897,13784.77,13
Sung Je,Kim,RainBOw,kr,2097,315,71066.76,28
Seo Yong,Park,Rain,kr,3772,494,36043.76,17
Yo Hwan,Lim,BoxeR,kr,881,136,171858.91,55
Yoo Jong,Kim,Hyperdub,kr,12694,1278,6153.66,7
Do Joon,Chae,Noblesse,kr,811,126,184037.54,43
Seung Il,Jung,YuGiOh,kr,6564,793,17223.84,26
Dae Jin,Lee,asd,kr,7663,894,13926.54,15
Dong Hwan,Kim,viOLet,kr,794,120,187755.93,94
Myung Deok,Seo,VanVanth,kr,17097,1574,3520.74,7
Han Eol,Kwak,Maka,kr,9668,1063,9922.57,10
Soo Ho,Kim,Line,kr,8861,994,11183.14,17
Man Hyuk,Cho,JookTo,kr,11910,1226,6918.62,16
Soo Ho,Park,DongRaeGu,kr,479,79,290550.08,124
Dmytro,Filipchuk,DIMAGA,ua,2147,44,69422.67,101
Payam,Toghyan,TT1,ca,5721,190,20809.51,22
Greg,Fields,IdrA,us,2003,397,75044.87,56
Young Suh,Yoon,TaeJa,kr,453,75,303704.63,118
Dong Hyun,Kim,RevivaL,kr,2498,367,59554.96,69
Won Pyo,Lee,Curious,kr,1868,280,80860.78,66
Byung Jae,Koh,GuMiho,kr,653,105,227258.15,286
Doh Hyung,Hwang,Min,kr,12046,1242,6778.20,11
Kyung Soo,Kim,LegalMind,kr,17008,1566,3558.61,4
Woo Seo,Jung,aMeBa,kr,5085,633,24234.80,25
Siam,Kim,August,kr,27029,2150,1340.83,4
Andrew,Pender,mOOnGLaDe,au,4386,83,29907.66,25
Hyun Woo,Park,Squirtle,kr,1622,250,92282.22,50
Jung Hoon,Kim,Tassadar,kr,12066,1244,6759.42,25
Jae Ho,Jang,Moon,kr,172,13,648075.43,158
Jung Hwan,Kim,Cezanne,kr,20838,1785,2380.90,7
Aleksey,Krupnyk,White-Ra,ua,2368,47,63177.77,61
Stefan,Andersson,MorroW,se,3222,141,43303.29,57
Chia Cheng,Yang,Sen,tw,1028,17,147879.66,71
Gyung Lak,Park,Junwi,kr,4989,626,24889.15,15
Seung Ju,Baek,ButterflyEffect,kr,29634,2309,1062.18,4
Hye Joon,Jung,Jjun,kr,26919,2145,1359.41,7
Hyun Woo,Jang,Creator,kr,1064,171,142276.34,148
Joong Hyuk,Cho,Dream,kr,1426,219,105123.04,127
Byung Hyun,Choi,YoDa,kr,1784,270,84119.07,52
Tae Hwan,Kim,LiveForever,kr,9386,1032,10193.83,2
Jin Youn,Park,JYP,kr,3690,486,37076.01,33
In Soo,Lee,Lucky,kr,4803,605,26195.55,28
Hyeon Deok,Song,HerO,kr,555,92,261892.87,91
Chang Ho,Jo,Luvsic,kr,19054,1682,2865.13,10
Yi,Dai,Loner,cn,4234,484,31210.89,21
Jin Hyun,Moon,Ready,kr,27403,2174,1295.13,3
Won Hyung,Kim,TAiLS,kr,4182,535,31880.32,60
Tae Hoon,Kwon,Sniper,kr,745,114,198399.10,47
Joseph,de Kroon,Ret,nl,1920,22,78762.32,75
Seong Rae,Kim,lOvShinyStar,kr,44105,3048,364.15,2
Johan,Lucchesi,NaNiwa,se,842,48,178843.69,80
Kim,Hammar,SaSe,se,2118,103,70381.38,58
Kyung Chul,Woo,Sage,kr,7096,843,15410.98,27
Hyun Seung,Tak,Monster,kr,5053,632,24502.45,23
Shawn,Simon,Sheth,us,6000,1184,19666.67,33
Kyung Hyun,Ryoo,SeleCT,kr,1811,275,83117.53,51
Jeffrey,Brusi,SjoW,se,1406,73,106709.61,91
Jung Min,Shin,SUPERSTAR,kr,7049,840,15618.13,9
Min Soo,Choi,Brown,kr,12111,1248,6708.72,11
Myung Hwan,Cho,Golden,kr,3550,470,38901.37,32
Gil Sup,Byun,Sync,kr,3839,501,35227.80,20
Nam Kyu,Kim,BitByBit,kr,23146,1931,1910.64,2
Hyun Tae,Kim,GuineaPig,kr,12967,1299,5979.35,11
Jung Gyoon,Kim,kkOma,kr,32493,2491,867.97,2
Yung Soo,Jun,Nettie,kr,17025,1568,3550.84,3
Hyo Jong,Park,BBi,kr,36698,2673,622.58,2
Young Min,Song,Odin,kr,35176,2622,704.99,3
Byung Hak,Song,Quiet,kr,10456,1131,8579.33,13
Jung Soo,Lee,JSL,kr,32382,2486,877.63,3
Yoo Seok,Lee,Tankboy,kr,10393,1125,8652.12,6
Jung Min,Ahn,cOre,kr,20421,1768,2497.65,8
Chang Jong,Oh,ZanDarke,kr,32279,2468,887.73,3
Min Seok,Kim,Yeah,kr,38702,2738,531.97,2
Hayder,Hussein,HayprO,se,8150,295,12589.72,18
Bang Min,Jung,TopClass,kr,54274,3378,184.01,1
Nam Joong,Kim,Avenge,kr,12276,1259,6551.04,16
Kyung Deok,Kim,duckdeok,kr,1210,188,122994.68,38
Do Kyung,Kim,Billowy,kr,4000,514,33540.36,58
Deok Man,Yoon,SocceR,kr,4566,586,28155.73,25
Marcus,Eklöf,ThorZaIN,se,1368,71,109362.56,68
Jian Carlo,Alejo,Fenix,pe,4023,15,33327.16,22
Young Il,Kim,Hack,kr,4545,580,28337.30,47
Sung Choo,Cho,Maru,kr,108,5,889095.83,125
Joon Sung,Park,TREME,kr,29385,2277,1091.46,4
Haeng Seon,Lee,Weekend,kr,41760,2931,430.15,3
Ji Soo,Park,fOrGG,kr,621,98,237846.97,77
Min Ho,Jung,Mujuk,kr,44372,3059,354.12,1
Sang Hun,Lee,VINES,kr,14403,1389,4971.87,10
Lee Sak,Won,PartinG,kr,299,48,428814.54,178
Yun Sik,Choi,TheStC,kr,3407,456,40908.95,39
Ki Soo,Han,CrazymoviNG,kr,1592,242,94385.96,24
Dong Hyun,Kang,Symbol,kr,1586,241,94856.43,68
Jong Mi,Lee,JongMi,kr,31206,2403,987.66,1
Ji Soo,Seo,ToSsGirL,kr,9242,1023,10412.39,6
Pei Ling,Liao,pikachu,tw,0,0,0.00,0
Johnathan,Wendel,Fatal1ty,us,279,48,458489.23,39
Manuel,Schenkhuizen,Grubby,nl,362,5,359905.11,159
Dennis,Fong,Thresh,us,5675,1126,21000.00,3
John,Hill,ZeRo4,us,919,175,164646.66,33
Mark,Larsen,wombat,us,2644,528,55551.67,13
Paul,Nelson,czm,us,2195,437,68100.00,13
Anton,Singov,Cooller,ru,701,18,212089.34,105
David,Walsh,Walshy,us,889,169,170364.37,68
Johan,Quick,Toxjq,se,475,32,292855.46,54
Maciej,Krzykowski,av3k,pl,1053,19,144079.53,67
James,Harding,2GD,gb,3242,121,43025.86,17
Alessandro,Avallone,stermy,it,617,3,238642.15,41
Kevin,Baéza,strenx,fr,2733,95,53223.03,84
Sander,Kaasjager,Vo0,nl,461,7,299570.00,26
Sebastian,Siira,Spart1e,se,2491,119,59684.37,72
Zhibo,Fan,Jibo,cn,4522,509,28547.79,19
Marcel,Paul,k1llsen,de,1407,41,106551.26,76
Alexei,Yanushevsky,Cypher,by,758,3,195474.98,163
Shane,Hendrixson,rapha,us,349,64,370888.63,99
Ilyes,Satouri,Stephano,fr,451,15,304291.61,127
Jong Hyuk,Choi,BBoongBBoong,kr,4272,548,30902.33,56
Jonathan,Garneau,KiWiKaKi,ca,7841,257,13453.57,19
Giacomo,Thüs,Socke,de,1998,66,75228.59,122
Nick,De Cesare,LastShadow,us,17086,3375,3525.00,6
Rori,Bryant-Raible,CauthonLuck,us,2191,435,68220.00,28
Andrew,Moysey,Drewbie,ca,14726,454,4743.12,14
Dario,Wünsch,TLO,de,1286,34,115102.67,169
Tyler,Wasieleski,NonY,us,5745,1143,20650.00,19
Victor,Goossens,Nazgul,nl,19983,276,2550.00,7
Paul-David,Pagé,SLush,ca,15908,497,4038.57,10
Josh,Bland,Agh,us,49961,9783,245.00,3
Taylor,Parsons,PainUser,us,16615,3290,3750.00,3
Bryce,Bates,Machine,us,19010,3718,2889.29,9
Geoff,Robinson,iNcontroL,us,12723,2555,6124.14,16
Min Gyun,Kim,mOoNan,kr,24455,2026,1668.81,7
Ho Joon,Lee,PuMa,kr,1048,169,144593.61,25
Juan Carlos,Lopez,SpeCial,mx,336,1,378819.16,210
Steven,Bonnell,Destiny,us,20425,4017,2494.36,9
Aaron,Elam,Ace,us,401,78,332400.00,59
Clete,LoRusso,Assault,us,2985,607,47512.50,24
Ian,Wyatt,Enable,us,241,39,496947.12,103
Michael,Chaves,Flamesword,us,2828,573,51096.79,30
Timothy,Keane,Adrenaline,us,16618,3292,3750.00,2
Jordan,Dotzel,Amish Acorns,us,15104,3025,4500.00,4
Tony,Campbell,Lethul,us,165,23,667375.00,49
Mason,Cobb,Neighbor,us,1629,323,91999.51,33
Bradley,Laws,APG,us,980,190,156100.00,52
Scott,Holste Jr.,Cloud,us,1336,265,111676.67,40
Weston,Price,Clutch,us,2709,540,53700.00,10
Nick,Kershner,Maniac,us,2427,487,61600.00,17
Kyle,Elam,Elamite,us,960,186,158324.51,26
Robbie,Bordieri,Robbie B,us,13030,2619,5900.00,4
Paul,Duarte,SnakeBite,us,167,24,658625.00,51
Michael,Cavanaugh,Strongside,us,1222,241,121794.89,46
Ryan,Geddes,RyaNoob,us,2600,518,56862.50,38
Chris,Chapon,Blaze,us,7654,1550,13970.74,10
Kevin,Zimmerman,Brake,us,11621,2321,7200.00,6
Matthew,Piper,FormaL,us,124,17,819782.18,131
Jason,Brown,Lunchbox,us,671,139,219830.00,60
Justin,Brown,Roy,us,699,144,212275.00,57
Anthony,Pennacchio,Totz,us,6381,1269,18000.00,11
Tom,Taylor,Tsquared,us,1196,234,124293.25,54
Ryan,Means,Destin,us,4396,892,29800.00,15
Eric,Hewitt,GH057ayame,us,1386,276,108162.26,34
Eric,Wrona,Snipedown,us,352,66,368717.52,100
Joseph,Campbell,Tizoxic,us,4099,823,32512.41,20
Nick,Grande,Thrust,us,36217,6999,650.00,2
Sean,Swidersky,Dersky,us,4946,996,25125.00,10
Jacob,Santos,Arkanum,us,10305,2062,8800.00,7
Mathew,Fiorante,Royal 2,ca,173,9,645587.50,42
Tom,Ryan,OGRE2,us,473,97,293043.43,89
Justin,Deese,Pistola,us,329,60,384260.00,67
Bryan,Rizzo,Legit,us,1248,246,119241.81,47
Brett,Leonard,Naded,us,726,152,205783.81,51
Richie,Heinz,Heinz,us,1194,232,124329.17,48
Sammy,Satullo,Elitest,us,29036,5638,1125.00,2
Joey,Gargaro,Twin SavioR,us,20769,4070,2400.00,3
Ian,Porter,Crimsix,us,76,7,1158159.47,153
Lee,Santos,TwYLighT,us,11964,2391,6850.00,7
Cameron,Thorlakson,Victory X,us,1137,219,131993.39,47
Tyler,Blevins,Ninja,us,504,107,280313.30,53
Justin,Kats,FearItSelf,us,945,181,159820.83,45
Faisal,Khan,Goofy,us,4266,863,30975.00,25
Alex,Ramirez,Swift Kill,us,2356,475,63525.00,3
Justin,Mozingo,Calm,us,2338,472,64275.00,4
Alan,Montgomery,Reliable,us,8247,1651,12400.00,3
Grzegorz,Komincz,MaNa,pl,665,14,222375.95,257
Mihaylo,Hayda,Kas,ua,2072,43,72246.27,146
Artur,Bloch,Nerchio,pl,347,8,371725.19,438
Aleksandar,Krstić,Beastyqt,rs,6155,10,18939.83,84
Tomasz,Boro&#324;,Tarson,pl,8393,166,12077.06,31
Felipe,Zuñiga,KiLLeR,cl,3431,4,40569.04,34
Marcin,Wieczorek,DieStar,pl,9303,180,10296.84,32
Samuli,Sihvonen,elfi,fi,2681,47,54576.59,73
Dennis,Schneider,HasuObs,de,654,12,226808.72,185
Eugin,Oparyshev,Strelok,ua,4159,55,32080.46,78
Han Yu,Yang,YHY,cn,19684,1952,2648.40,5
Jin,Hui Cao,Jim,cn,1183,172,125273.05,99
Xing Biao,Zhu,Way,cn,23750,2280,1800.00,3
Jared,Krensel,PiG,au,4726,92,26736.52,60
Lei,Wang,XiGua,cn,1110,164,135200.51,87
Ethan,Zugai,iaguz,au,2478,33,59905.20,75
Benjamin,Brewer,Gatored,us,24984,4829,1600.00,5
Nick,Ranish,Axslav,us,13570,2722,5439.29,16
Andrew,Golec,Attero,ca,27136,812,1325.00,7
Cong,Shu,StrifeCro,us,1374,275,108905.70,50
Nick,Taber,Pokebunny,us,19338,3777,2760.69,18
Josh,Yang,Edge,us,37463,7268,600.00,1
Sergei,Rodionov,Pomi,ru,10050,367,9219.93,17
Jérémy,Vansnick,Feast,be,7910,38,13257.26,17
Kristoffer,Marthinsen,TargA,no,3448,30,40317.27,37
Silviu,Lazar,NightEnD,ro,5462,9,22030.73,41
Kevin,Riley,qxc,us,5317,1069,22920.06,55
Oleg,Kuptsov,TitaN,ru,4018,150,33334.26,48
Jin Sil,Oh,ReaL,kr,13886,1363,5192.44,17
Benjamin,Baker,DeMusliM,gb,3796,140,35738.24,62
Jonathan,Belke,DarKFoRcE,de,6673,253,16844.88,39
Artem,Garavtsov,sLivko,ru,4956,186,25012.18,54
Jens,Aasgaard,Snute,no,346,4,372788.71,310
Han,Sang Cho,biGs,ch,8551,17,11776.61,18
Daniel,Spenst,XlorD,de,2817,104,51389.38,35
Vitor,Ferreira,DakkoN,br,27179,970,1318.41,4
Chris,Lee,Illusion,us,6152,1222,18950.00,19
Aderson,Santos,Potiguar,br,13424,439,5550.00,4
Renan,Guilhem,Tunico,br,13811,457,5250.00,7
Pavel,Kuznetsov,Brat_OK,ru,3218,124,43422.48,65
Hwang,Seung Hyuk,HwangSin,kr,10583,1139,8395.41,16
Benoît,Strypsteen,Adelscott,fr,4815,173,26080.17,29
Abdulaziz,Abed,CrunCher,us,10389,2077,8659.06,16
Sascha,Lupp,GoOdy,de,4274,164,30865.68,146
Christoph,Semke,Mondragon,de,4150,162,32128.66,21
René,Krag,Ciara,dk,13107,304,5812.02,15
Georgi,Marinov,ZeeRaX,bg,29570,105,1070.48,6
Sang Hwan,Bae,Sound,kr,8839,991,11216.81,6
Olivier,Bellemans,Orly,be,8095,39,12796.46,10
Tobias,Nilsson,ZpuX,se,29227,936,1100.41,4
Juha-Matti,Bäckström,Satiini,fi,11526,179,7327.34,36
Pedro,Moreno Durán,LucifroN,es,1421,7,105280.25,99
Tomáš,Pospíšil,PredY,cz,40985,258,459.87,3
Aurélien,Sannier,AureS,fr,13281,526,5660.06,6
Łukasz,Czarnecki,Tefel,pl,5216,108,23509.45,94
Juan,Moreno Durán,VortiX,es,1273,6,116740.42,104
Jimmy,Wölfinger,Jimpo,se,37628,1185,592.25,7
Anton,Plebanovich,LoWeLy,by,8062,23,12876.27,24
Marvin,Gebhart,roof,de,24433,1060,1674.06,14
Dominik,Rogacki,SLiDeR,pl,28849,523,1148.61,9
Aleksandr,Svusuyk,Bly,ua,1159,30,128814.25,442
Kristijonas,Barisas,Krr,lt,12709,32,6138.20,22
Philipp,Simon,monchi,at,6521,14,17440.70,30
Dmitry,Kostin,Happy,ru,805,21,184896.80,339
Sterling,Kolde,Sterling,us,61595,12021,100.00,1
Min Woo,Ahn,PeGaSuS,kr,61603,3588,100.00,1
Dong Yeon,Lee,dde,ca,10435,331,8602.72,17
Young Joon,Yoo,Mysticism,kr,27613,2186,1261.81,7
Min Soo,Choi,Skit,kr,41492,2915,442.09,2
Hak Seon,Moon,AnNyeong,kr,15907,1487,4038.86,8
Seong Han,Kim,Sleep,kr,4921,617,25330.13,36
Hyun Mok,Kim,Spear,kr,13840,1358,5227.33,34
Hyo Jong,Kim,horror,kr,4011,515,33424.97,24
Han Byul,Kim,Crane,kr,36481,2668,632.23,6
Kyung Min,Choi,Shine,kr,11092,1172,7768.24,15
,,,,,,,
Diogo,Barbosa,sYz,pt,19403,101,2748.73,21
Carlo,Giannacco,ClouD,it,7328,36,14893.05,39
John,Seipel,Seiplo,se,11763,408,7019.55,19
Arthur,Roskos,Akki,de,22191,973,2051.99,9
Tim,Fogarty,DaHanG,us,574,121,255419.96,90
Alexander,Ihrfors,Z4muZ,se,5764,225,20558.45,6
Michaël,Bignet,winz,fr,1170,35,127470.29,43
Pierre-Émeric,Portier,l1nkin,fr,6435,254,17752.67,13
Pelle,Söderman,fazz,se,2041,101,73388.43,33
Patrik,Sirén,zyv,se,34193,1078,751.60,2
David,Kinnaird,deus,gb,5962,220,19904.26,8
Richard,Gansterer,noctis,at,1786,6,84032.96,21
Maciej,Jaku,zik,pl,42250,777,411.65,2
Kyle,Mooren,Silencep,nl,1533,17,98076.16,26
Marcin,Bogusz,v3rb,pl,53605,1018,196.59,1
Jeffrey,Debipersad,Draven,nl,22893,307,1982.23,5
Romain,Leclercq,dem0n,be,27628,148,1260.01,14
Kryštof,Černý,krysa,cz,6102,29,19139.35,9
Santeri,Lahtinen,Naama,fi,5089,88,24202.81,28
Maurizio,Carioti,StarEagle,it,13044,89,5884.61,8
Azamat,Turganbayev,MasterOK,kz,49842,230,247.76,2
Anton,Vasilyev,Aristeo,ru,16885,603,3614.21,21
Faton,Rekathati,LaLuSh,se,8615,315,11625.15,26
Daniel,Scherlong,ViBE,us,4058,816,32955.71,25
Chad,Jones,Minigun,us,5145,1040,23919.79,28
Ryan,Visbeck,State,us,7155,1425,15245.00,22
Aaron,Deir,CocoA,pa,42589,9,400.00,1
Sung Min,Park,Stalife,ca,24266,744,1700.00,4
Austin,King,RaNgeD,us,24074,4683,1738.17,6
Tim,Olsson,merz,se,15476,527,4271.01,8
Sebastian,Pesic,FuRy,se,7181,268,15151.94,10
Min Gyu,Woo,Inori,kr,9468,1039,10031.99,17
Min Ho,Jo,Artist,kr,24416,2024,1678.44,6
Michael,Yabut,Spanishiwa,us,25489,4900,1510.00,6
Paulo,Vizcarra,CatZ,pe,7626,27,14021.36,34
Lok-Yin,Kwong,KawaiiRice,us,15567,3103,4230.00,11
Xiaofeng,Li,Sky,cn,553,82,262797.66,74
Weiliang,Lu,Fly100%,cn,489,76,285568.41,101
Sung Sik,Kim,ReMinD,kr,907,140,166925.03,123
Xu Wen,Wang,Infi,cn,265,55,472524.87,136
Olav,Undheim,Creolophus,no,2687,24,54378.97,15
Yoan,Merlo,ToD,fr,787,24,188494.63,90
Mykhaylo,Novopashyn,HoT,ua,3116,51,45135.00,28
Dennis,Chan,Shortround,us,6465,1288,17675.00,7
Dae Hui,Cho,FoV,kr,2785,402,52010.78,32
Hao,Su,suhO,cn,6292,693,18317.52,21
Tae-min,Hwang,Zacard,kr,3821,497,35499.97,18
Zdravko,Georgiev,Insomnia,bg,3045,15,46383.68,26
Bin,Guo,ChinaHuman,cn,9536,1035,10000.00,1
Sorin,Popescu,EviscEratoR,ro,13755,36,5287.18,2
Hao Zhou,Chen,MagicYang,cn,19736,1962,2625.00,3
Li Wei,Sun,xiaOt,cn,1431,195,104696.25,52
Alborz,Haidarian,HeMaN,se,7844,291,13440.73,8
Andrey,Sobolev,Deadman,ru,2775,108,52325.98,26
Ru Ao,Dan,EAT,cn,39542,3287,500.00,1
Fredrik,Johansson,MaDFroG,se,2764,124,52593.90,13
Jung Hee,Chun,Sweet,kr,1871,281,80687.18,26
Yong Seok,Jang,FreeDom,kr,8895,995,11117.39,5
Dong Moon,Kim,GoStop,kr,3511,466,39410.42,9
Gediminas,Rimkus,WinneR,lt,13017,34,5911.20,3
Björn,Ödman,ElakeDuck,se,7946,292,13150.99,9
Zhengkun,Guo,Guangmo,cn,21969,2138,2100.00,3
Raphaël,Benhakoun,Shore,fr,31242,1275,982.40,1
Matthew,Anderson,Wizard,us,6224,1241,18550.00,9
Dimitar,Aleksandrov,DIDI8,bg,5683,29,20965.51,10
Hao,Wang,Anas,cn,32697,2827,850.00,2
Jae Wook,Noh,Lucifer,kr,1606,246,93108.74,114
Hong Liang,Liu,xTiGer,cn,22513,2178,2000.00,1
Christophe,Laporte,Wolf,fr,15504,616,4251.37,7
Carlos,Armendariz,Boo,us,23202,4535,1900.00,4
Liu,Jin,GoHome,cn,39612,3296,500.00,1
Antoine,Zadri,FaTC,fr,11437,455,7457.05,11
Yeon Taek,Hwang,jojo,kr,28258,2218,1200.00,1
Lou,Gentet,Blatty,fr,27062,1090,1336.95,5
Jeff,Zhang,Aether,us,27329,5277,1300.00,1
Seo Woo,Kang,ReiGn,kr,4527,576,28522.36,15
Ivica,Markovic,Zeus[19],hr,5827,9,20229.09,14
Andrew,Regendantz,Fire_de,de,3958,156,33968.77,11
Franklin,Pearsall,Nilknarf,us,6436,1282,17750.00,8
Andrey,Guldyashov,LiveZerg,ru,6970,269,15949.73,37
Jesper,Johansson,Bischu,se,6432,247,17763.97,20
Jian Fei,Wang,IefNaij,ca,11173,357,7677.31,5
Krzysztof,Nalepka,Draco,pl,8094,160,12798.81,13
Grzegorz,Kordek,Dreiven,pl,26666,475,1396.70,4
Cristóbal,Lledó,DinOt,cl,50673,233,233.20,1
Rafal,Kontowicz,ParanOid,pl,12041,227,6784.35,22
Egor,Kolchin,Rondo,ru,35289,1309,700.00,2
Zhe,Teng,XiaOzl,ca,39219,1129,503.70,3
Anton,Emmerich,Kolll,de,49349,2329,250.00,1
Jose,Castro,CastrO,pe,32551,125,862.14,6
Seong Deok,Lee,SoJu,kr,3916,508,34381.64,16
Du Seop,Chang,WhO,kr,5388,665,22460.14,19
Zhuo,Zeng,TeD,cn,2163,262,68878.10,41
Daniel,Claesson,LiiLD.C,se,7614,282,14053.76,12
Hjalmar,Högberg,DowaQ,se,17044,577,3545.62,8
Magnus,Olsson,fox,se,2429,115,61514.13,30
Piki,Poki,pod1,pl,40318,732,493.35,1
Tassilo,Teppert,toxter,de,36721,1697,620.01,2
Lari,Laitinen,LuGia,fi,59311,1017,123.34,1
Fredrik,Knopf,KnOfF,se,16144,552,3995.74,4
Fredrik,Nordgren,TuFFeR,se,45245,1462,331.65,1
Xiang,Huang,TH000,cn,326,65,388153.78,141
Ryan,Hrycznski,suggy,ca,35299,1009,700.00,2
Strieb,Roman,Silver,ca,41250,1199,450.00,1
Ben,Cardwell,MurDeR,us,41251,7991,450.00,1
Dan,Bradham,vamp1re,us,39724,7686,500.00,1
Chance,Lacina,Chance,us,9457,1907,10060.00,16
Josh,Remington,Ziel,us,42826,8274,400.00,1
Brian,Flander,dkt,us,8929,1800,11050.00,14
Pierre,Guivarch,SarenS,fr,7618,290,14044.33,12
Robert,Kopczynski,tox1c,pl,44526,817,350.00,1
Michael,Hindersson,mAdix,se,22272,731,2029.74,6
Alexandre,Fouchet,GoHLinK,fr,27417,1103,1292.32,2
Dan,Sanders,zsx,gb,41093,1462,455.43,3
Daniel,De Sousa,dandaking,au,5028,97,24657.40,17
Cheng Long,Zhou,Sai,cn,7393,817,14665.48,13
Dan,Stemkoski,Artosis,us,7598,1537,14098.93,15
Mateusz,Ożga,matr0x,pl,39218,708,503.76,5
Bogdan,Mazur,Bodzo,pl,49434,930,250.00,1
Szymon,Ożga,STING,pl,45500,838,325.05,4
Benjamin,Jakob,calipt,de,21780,954,2143.00,6
Ben,Siebert,Sc00T,nl,23303,310,1878.13,3
Ahn,Sang Won,Seed,kr,1897,287,79729.38,64
Kim,Min Hyuk,Heart,kr,2239,337,66538.87,51
Yoo,Ki Sung,True,kr,20840,1786,2379.92,8
Seok Hyun,Ko,HyuN,kr,627,100,235802.41,202
Lee,Joon,Seal,kr,20997,1798,2336.90,5
Park,Yong Hwan,Sculp,kr,23888,1986,1768.61,9
Seung Hyun,Lee,Life,kr,262,41,476629.17,77
Xiang,Hu,MacSed,cn,1313,184,113383.14,127
Joonas,Ranto,kapsaN,fi,50781,784,230.89,1
Samu,Rihelä,BriNGeR,fi,16971,235,3582.76,5
Tuomas,Lahtinen,Sein,fi,18008,242,3193.84,2
Vijal,Patel,VIJU,us,6169,1228,18875.00,10
Sabian,Hayblum,clampOK,au,5116,103,24057.50,9
Andrew,Trulli,id_,ca,3923,143,34285.67,19
Kevin,Holowchik,kgb,us,9945,2008,9383.33,8
William,Ritson,icel0re,us,20320,3971,2500.00,2
Thomas,Wall,griffin,ca,7455,239,14475.83,12
Mark,McGrail,cl0ck,us,4808,973,26143.34,17
Vince,Cleveland,N1k0n,us,24944,4818,1600.00,1
Greg,Paris,wn,us,30755,5922,1000.00,1
Brad,Galloway,shizem,us,30758,5924,1000.00,1
Steven,Wyckoff,Palarity,us,39829,7723,500.00,1
Christopher,Wiggins,dradik,us,39837,7726,500.00,1
Michael,Smith,bLt,us,30772,5929,1000.00,1
Daniel,Sturdivant,carnage,us,9440,1901,10093.90,20
Kyle,Mims,relic,us,19942,3883,2561.67,10
Jeff,Abbott,FienD,us,22684,4448,2000.00,3
Mikael,Tarainen,purri,se,6647,252,16953.50,7
Tim,Bowes,naymlis,us,27808,5405,1250.00,1
Rafik,Bryant,LoSt-CaUsE,us,8420,1686,12009.51,12
Alex,Ingarv,Ztrider,se,1524,79,98723.91,15
Henrik,Björk,blue,se,7037,260,15660.29,8
Fredrik,Quick,gopher,se,3838,157,35231.00,5
Meng,Yang,RocketBoy,cn,999,149,152023.16,10
Uli,Krumb,Slaine,de,9608,376,10000.00,1
Jamie,Pereyda,Missy,us,7281,1475,15000.00,1
